aaron douglas
abdiqasim salad
afrika bambaataa
ahmad tejan kabbah
al green
al jarreau
al sharpton
alex haley
allen iverson
allen johnson
alvin ailey
amiri baraka
andrew young
anwar sadat
archie moore
art blakey
art tatum
arthur ashe
barack obama
barry bonds
barry sanders
bayard rustin
ben vereen
ben webster
benjamin banneker
benny carter
bernie casey
berry gordy
bill cosby
bill duke
bill robinson
bill russell
billy eckstine
billy preston
billy strayhorn
bo diddley
bob gibson
bob hayes
bob marley
bob mcadoo
bobby mcferrin
booker t. washington
brock peters
brook benton
buddy bolden
cab calloway
cannonball adderley
charles bolden
charley pride
charlie murphy
charlie parker
chester himes
chick webb
chinua achebe
chris paul
chris rock
chubby checker
chuck berry
chuck cooper
chuck d
claude mckay
clifford brown
coleman hawkins
colin powell
daniel igali
danny glover
david alan grier
david dinkins
dee brown
denzel washington
desmond tutu
dizzy gillespie
don barksdale
don cherry
donald byrd
donny hathaway
dred scott
duke ellington
earl hines
ed gordon
eddie murphy
edward brooke
eldridge cleaver
elijah muhammad
emmett till
ernie banks
erroll garner
eubie blake
ezzard charles
fats domino
fletcher henderson
flo rida
floyd patterson
foday sankoh
frank robinson
fred hampton
fred williamson
frederick douglass
george foreman
george hill
george washington carver
gil scott-heron
glen johnson
glynn turman
gregory hines
hank aaron
hank ballard
henri christophe
henry armstrong
henry louis gates jr.
herbie hancock
horace silver
huey p. newton
hugh masekela
ike turner
isaac hayes
jack johnson
jackie jackson
jackie robinson
jackie wilson
jacob zuma
james baldwin
james brown
james earl jones
james edwards
james meredith
james moody
james p. johnson
james weldon johnson
jean-bertrand aristide
jean-claude duvalier
jean-jacques dessalines
jermaine jackson
jerry rawlings
jesse jackson
jesse owens
jim brown
jimi hendrix
jimmy cliff
jo jo white
joe frazier
joe louis
john amos
john atta mills
john carlos
john coltrane
john conyers
john kufuor
john lee hooker
john singleton
johnny hodges
jomo kenyatta
joseph jenkins roberts
joseph kony
joseph saidu momoh
josh white
joshua nkomo
kanye west
kenneth kaunda
kenny burrell
kevin durant
kid ory
kofi annan
kurtis blow
kwame nkrumah
langston hughes
larry james
lee evans
lester young
levar burton
lil wayne
lionel hampton
lionel richie
lou donaldson
lou rawls
louis armstrong
lynden pindling
magic johnson
malcolm x
marcus garvey
martin luther king iii
martin luther king junior
MLK
marvin gaye
matthew henson
max roach
mc hammer
medgar evers
memphis slim
menelik ii
mengistu haile mariam
michael jackson
michael jordan
miles davis
milton margai
moses gunn
muddy waters
muhammad ahmad
muhammad ali
naguib mahfouz
nana akufo-addo
nat king cole
neil degrasse tyson
nelson mandela
nnamdi azikiwe
o. j. simpson
olusegun obasanjo
ornette coleman
oscar micheaux
oscar peterson
oscar robertson
otis redding
patrice lumumba
paul chambers
paul laurence dunbar
paul robeson
paul winfield
philibert tsiranana
quincy jones
rafer johnson
ralph abernathy
ralph bunche
ralph ellison
ralph metcalfe
ray brown
ray charles
red garland
richard allen
richard pryor
richard roundtree
richard wright
richie havens
rick james
robert johnson
robert mugabe
robert sobukwe
rodney king
ron carter
ron freeman
roy eldridge
sam cooke
sam jones
sammy davis jr.
satchel paige
scott joplin
shaquille o'neal
siad barre
siaka stevens
sidney bechet
smokey robinson
soulja boy
spike lee
stephon marbury
steve coleman
stevie wonder
stokely carmichael
sugar ray robinson
teddy pendergrass
teddy wilson
thabo mbeki
thelonious monk
thomas sowell
thurgood marshall
tim duncan
tito jackson
tom mboya
toussaint louverture
tupac shakur
valentine strasser
van mccoy
w. c. handy
wayne shorter
william jones
william p. gottlieb
willie mays
wilson pickett
wilt chamberlain
wyclef jean
wynton marsalis
