abigail adams
adelina patti
adrienne rich
agatha christie
albert lee
alice b. toklas
alice evans
alice eve
alice hoffman
alice liddell
alice marble
amelia earhart
amy lowell
amy ryan
amy williams
amy winehouse
andrea martin
angelina jolie
anita o'day
anita roddick
ann jones
anna anderson
anna lee
anna pavlova
anna wintour
anne bancroft
anne bradstreet
anne frank
anne hutchinson
anne shirley
anne tyler
anne-sophie mutter
annie leibovitz
annie lennox
annie oakley
arthur johnson
ashley jones
assia djebar
astrid lindgren
audrey hepburn
ava gardner
avril lavigne
ayn rand
barbara cook
barbara jones
barbara kingsolver
barbara mcclintock
barbara mikulski
barbara pym
barbara w. tuchman
barbara walters
barbra streisand
beatrix potter
bella abzug
belle starr
benjamin butler
berthe morisot
betsy ross
bette davis
betty friedan
betty grable
betty williams
bibi andersson
billie burke
billie jean king
britney spears
calamity jane
cameron diaz
candice bergen
carl foreman
carly simon
carmen miranda
carol burnett
carol gilligan
carolyn porco
cate blanchett
celia johnson
celine dion
charles lee
charlotte sullivan
chaz bono
chelsea clinton
chris connor
chris evert
christa mcauliffe
christina aguilera
christina rossetti
christine darden
clara barton
clara schumann
claudette colbert
coco chanel
cornelia funke
cyndi lauper
dale evans
daniel morgan
daphne du maurier
deanna durbin
debbie allen
dian fossey
diana krall
diane ackerman
diane ladd
dodie smith
dolley madison
donna shalala
dorothea lange
dorothy richardson
e. nesbit
edgar bergen
edith sitwell
edith wharton
edna ferber
edna st. vincent millay
eileen collins
eleanor powell
eleanor roosevelt
elisabeth schumann
eliza doolittle
elizabeth arden
elizabeth bishop
elizabeth cady stanton
elizabeth dole
elizabeth gaskell
elizabeth hartman
elizabeth ii
elizabeth montgomery
elizabeth taylor
ella grasso
ellen churchill semple
ellen degeneres
ellen terry
elsa schiaparelli
emily dickinson
emma goldman
emmylou harris
enid blyton
ernestine rose
estelle parsons
ethel barrymore
ethel kennedy
ethel merman
ethel voynich
eudora welty
eva gabor
eva nansen
farrah fawcett
fiona apple
flannery o'connor
florence lee
florence nightingale
frances hodgson burnett
frances willard
fredrika bremer
george eliot
george sand
george saunders
georgette heyer
geraldine brooks
geraldine ferraro
geraldine page
gertrude stein
gillian flynn
ginger rogers
glenn close
gloria steinem
golda meir
grace kelly
grace moore
greta garbo
gro harlem brundtland
gwen stefani
gwen verdon
hana brady
hannah arendt
harper lee
harriet beecher stowe
harriet martineau
helen gurley brown
helen keller
helen mirren
helen suzman
