adelaide hall
alberta hunter
alek wek
alice coachman
alice walker
althea gibson
amina wadud
angela davis
anita hill
annie easley
aretha franklin
audra mcdonald
barbara jordan
beah richards
bessie coleman
bessie smith
betty carter
billie holiday
butterfly mcqueen
carmen mcrae
chaka khan
cicely tyson
claudette colvin
condoleezza rice
coretta scott king
dee dee bridgewater
diahann carroll
diana ross
dick gregory
dinah washington
donna summer
dorothy dandridge
dorothy height
dorothy vaughan
edmonia lewis
edwidge danticat
ella baker
ella fitzgerald
ellen johnson sirleaf
elvin hayes
erykah badu
esther rolle
ethel waters
etta james
evelyn ashford
florence griffith joyner
gladys knight
gwendolyn brooks
harriet tubman
hattie mcdaniel
jackie joyner-kersee
janet jackson
jessye norman
jimmy heath
joan armatrading
josephine baker
katherine dunham
katherine johnson
koko taylor
lauryn hill
leontyne price
leslie uggams
little eva
lorraine hansberry
louise beavers
lydia maria child
ma rainey
mae jemison
mahalia jackson
mamie smith
marian anderson
mary j. blige
mary jackson
mary mcleod bethune
mary wells
mary wilson
maya angelou
michelle obama
minnie riperton
miriam makeba
nell carter
nichelle nichols
nina simone
oprah winfrey
patti austin
phillis wheatley
phylicia rashad
roberta flack
rosa parks
ruby dee
ruth brown
sarah vaughan
sharon jones
shirley verrett
sojourner truth
stephanie wilson
susan rice
sylvia robinson
tamara dobson
thelma houston
tracy chapman
tyra banks
wangari maathai
wendy williams
whitney houston
whoopi goldberg
wilma rudolph
zora neale hurston
